Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Tarih_Gun,Sehir
12:20 AM,52ʡF,48ʡF,88ʡ%,E,5ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
12:50 AM,52ʡF,48ʡF,88ʡ%,E,5ʡmph,0ʡmph,29.94ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
1:20 AM,54ʡF,48ʡF,82ʡ%,E,6ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
1:50 AM,54ʡF,48ʡF,82ʡ%,E,6ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
2:20 AM,54ʡF,48ʡF,82ʡ%,ESE,6ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
2:50 AM,54ʡF,50ʡF,88ʡ%,ESE,5ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
3:20 AM,54ʡF,48ʡF,82ʡ%,ESE,6ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
3:50 AM,54ʡF,48ʡF,82ʡ%,E,3ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
4:20 AM,52ʡF,48ʡF,88ʡ%,E,5ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
4:50 AM,54ʡF,48ʡF,82ʡ%,E,3ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
5:20 AM,52ʡF,46ʡF,82ʡ%,E,3ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
5:50 AM,52ʡF,46ʡF,82ʡ%,VAR,2ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
6:20 AM,52ʡF,46ʡF,82ʡ%,VAR,2ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
6:50 AM,52ʡF,46ʡF,82ʡ%,VAR,1ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
7:20 AM,52ʡF,48ʡF,88ʡ%,ESE,2ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
7:50 AM,52ʡF,46ʡF,82ʡ%,VAR,1ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
8:20 AM,50ʡF,46ʡF,87ʡ%,VAR,1ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
8:50 AM,52ʡF,48ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
9:20 AM,50ʡF,46ʡF,87ʡ%,VAR,2ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
9:50 AM,52ʡF,48ʡF,88ʡ%,VAR,1ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
10:20 AM,55ʡF,50ʡF,82ʡ%,VAR,2ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
10:50 AM,55ʡF,48ʡF,77ʡ%,ENE,6ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
11:20 AM,55ʡF,48ʡF,77ʡ%,E,3ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
11:50 AM,57ʡF,48ʡF,72ʡ%,ENE,3ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
12:20 PM,59ʡF,48ʡF,67ʡ%,W,1ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
12:50 PM,59ʡF,45ʡF,59ʡ%,S,3ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
1:20 PM,57ʡF,46ʡF,67ʡ%,SW,3ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
1:50 PM,59ʡF,46ʡF,63ʡ%,S,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
2:20 PM,59ʡF,46ʡF,63ʡ%,SSW,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
2:50 PM,57ʡF,46ʡF,67ʡ%,VAR,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
3:20 PM,57ʡF,48ʡF,72ʡ%,W,3ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-01,Istanbul
3:50 PM,57ʡF,48ʡF,72ʡ%,SSW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
4:20 PM,59ʡF,50ʡF,72ʡ%,SSW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
4:50 PM,57ʡF,48ʡF,72ʡ%,WSW,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
5:20 PM,55ʡF,50ʡF,82ʡ%,WSW,3ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
5:50 PM,55ʡF,50ʡF,82ʡ%,SSW,6ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
6:20 PM,55ʡF,50ʡF,82ʡ%,SSW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
6:50 PM,55ʡF,50ʡF,82ʡ%,SSW,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
7:20 PM,55ʡF,50ʡF,82ʡ%,SSW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
7:50 PM,55ʡF,50ʡF,82ʡ%,S,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
8:20 PM,55ʡF,50ʡF,82ʡ%,SSW,9ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
8:50 PM,55ʡF,50ʡF,82ʡ%,WSW,9ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
9:20 PM,54ʡF,50ʡF,88ʡ%,W,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Partly Cloudy,2024-01-01,Istanbul
9:50 PM,55ʡF,50ʡF,82ʡ%,WSW,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Partly Cloudy,2024-01-01,Istanbul
10:20 PM,54ʡF,50ʡF,88ʡ%,WSW,5ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
10:50 PM,55ʡF,50ʡF,82ʡ%,SW,8ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
11:20 PM,54ʡF,52ʡF,94ʡ%,SW,5ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
11:50 PM,54ʡF,50ʡF,88ʡ%,VAR,2ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
,,,,,,,,,,2024-01-01,Istanbul
12:20 AM,54ʡF,52ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
12:50 AM,54ʡF,50ʡF,88ʡ%,W,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
1:20 AM,54ʡF,50ʡF,88ʡ%,W,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
1:50 AM,54ʡF,52ʡF,94ʡ%,W,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
2:20 AM,54ʡF,52ʡF,94ʡ%,WSW,7ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
2:50 AM,55ʡF,52ʡF,88ʡ%,WSW,10ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Partly Cloudy,2024-01-02,Istanbul
3:20 AM,55ʡF,52ʡF,88ʡ%,WSW,10ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
3:50 AM,55ʡF,52ʡF,88ʡ%,SW,9ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
4:20 AM,55ʡF,52ʡF,88ʡ%,SW,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
4:50 AM,55ʡF,50ʡF,82ʡ%,SW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
5:20 AM,55ʡF,52ʡF,88ʡ%,SSW,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
5:50 AM,54ʡF,52ʡF,94ʡ%,SSW,5ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Partly Cloudy,2024-01-02,Istanbul
6:20 AM,54ʡF,50ʡF,88ʡ%,SSW,7ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
6:50 AM,54ʡF,50ʡF,88ʡ%,SSW,8ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-02,Istanbul
7:20 AM,55ʡF,50ʡF,82ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Partly Cloudy,2024-01-02,Istanbul
7:50 AM,55ʡF,48ʡF,77ʡ%,S,10ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
8:20 AM,54ʡF,50ʡF,88ʡ%,SSW,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
8:50 AM,55ʡF,48ʡF,77ʡ%,S,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
9:20 AM,55ʡF,50ʡF,82ʡ%,S,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
9:50 AM,55ʡF,50ʡF,82ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
10:20 AM,55ʡF,50ʡF,82ʡ%,S,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
